Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,Fault_label
2022-05-01,11.27.58.00,Data Log,Log Period,9.7,4.5,7.9,39.6,759.0,184208.7,56004.1,44180.2,282491.8,0.0,0.0,366692.9,16228.1,75521.4,206948.2,NORMAL
2022-05-01,11.38.02.00,Data Log,Log Period,2.5,1.5,2.1,39.7,775.0,184210.0,56004.1,44180.8,282491.8,0.0,0.0,366693.5,16228.2,75521.4,206949.5,NORMAL
2022-05-01,11.48.06.00,Data Log,Log Period,11.6,5.3,11.5,39.6,800.0,184211.4,56004.1,44181.5,282491.8,0.0,0.0,366694.2,16228.2,75521.5,206950.9,NORMAL
2022-05-01,11.58.10.00,Data Log,Log Period,10.7,5.1,10.9,39.2,809.0,184212.7,56004.1,44182.2,282491.8,0.0,0.0,366694.8,16228.2,75521.5,206952.2,NORMAL
2022-05-01,12.08.14.00,Data Log,Log Period,10.7,4.7,10.6,38.7,833.0,184214.0,56004.1,44182.8,282491.8,0.0,0.0,366695.5,16228.2,75521.5,206953.5,NORMAL
2022-05-01,12.18.16.00,Data Log,Log Period,11.9,6.2,12.3,38.9,854.0,184215.4,56004.1,44183.5,282491.8,0.0,0.0,366696.2,16228.2,75521.5,206954.9,NORMAL
2022-05-01,12.28.20.00,Data Log,Log Period,4.7,3.0,4.6,40.5,867.0,184216.6,56004.1,44184.1,282491.8,0.0,0.0,366696.9,16228.2,75521.5,206956.1,NORMAL
2022-05-01,12.38.24.01,Data Log,Log Period,5.3,3.7,7.0,40.2,614.0,184218.2,56004.1,44184.8,282491.8,0.0,0.0,366697.7,16228.2,75521.5,206957.6,NORMAL
2022-05-01,12.48.28.00,Data Log,Log Period,6.2,3.3,6.1,40.7,929.0,184219.5,56004.1,44185.4,282491.8,0.0,0.0,366698.5,16228.2,75521.5,206959.0,NORMAL
2022-05-01,12.58.32.00,Data Log,Log Period,2.4,2.4,3.2,41.4,313.0,184220.9,56004.1,44186.0,282491.8,0.0,0.0,366699.3,16228.2,75521.5,206960.4,NORMAL
2022-05-01,13.08.36.01,Data Log,Log Period,1.2,2.0,3.2,42.1,939.0,184221.9,56004.1,44186.3,282491.8,0.0,0.0,366699.9,16228.2,75521.5,206961.5,NORMAL
2022-05-01,13.18.40.00,Data Log,Log Period,8.0,5.0,7.6,42.4,880.0,184223.3,56004.1,44186.9,282491.8,0.0,0.0,366700.7,16228.2,75521.5,206962.9,NORMAL
2022-05-01,13.28.44.00,Data Log,Log Period,10.3,5.5,10.3,42.4,853.0,184224.4,56004.1,44187.4,282491.8,0.0,0.0,366701.5,16228.2,75521.5,206964.1,NORMAL
2022-05-01,13.38.48.00,Data Log,Log Period,9.6,5.2,8.8,42.6,858.0,184225.6,56004.1,44187.8,282491.9,0.0,0.0,366702.2,16228.2,75521.5,206965.3,NORMAL
2022-05-01,13.48.50.00,Data Log,Log Period,10.2,5.4,10.5,43.2,845.0,184226.7,56004.1,44188.2,282491.9,0.0,0.0,366702.9,16228.2,75521.6,206966.5,NORMAL
2022-05-01,13.58.54.00,Data Log,Log Period,7.0,4.0,7.7,43.7,833.0,184227.8,56004.1,44188.8,282491.9,0.0,0.0,366703.5,16228.2,75521.6,206967.7,NORMAL
2022-05-01,14.08.58.00,Data Log,Log Period,3.6,2.4,4.0,43.9,813.0,184228.8,56004.1,44189.2,282491.9,0.0,0.0,366704.0,16228.2,75521.6,206968.7,NORMAL
2022-05-01,14.19.02.00,Data Log,Log Period,9.3,4.4,8.7,45.5,793.0,184229.8,56004.1,44189.7,282491.9,0.0,0.0,366704.5,16228.3,75521.6,206969.7,NORMAL
2022-05-01,14.29.06.00,Data Log,Log Period,2.3,2.2,4.6,46.8,771.0,184230.9,56004.1,44190.3,282491.9,0.0,0.0,366705.1,16228.3,75521.6,206970.9,NORMAL
2022-05-01,14.39.10.01,Data Log,Log Period,0.8,0.8,1.9,46.6,755.0,184231.8,56004.1,44190.7,282491.9,0.0,0.0,366705.6,16228.3,75521.6,206971.9,NORMAL
2022-05-01,14.49.14.00,Data Log,Log Period,8.0,4.2,8.6,46.1,743.0,184232.7,56004.1,44191.1,282491.9,0.0,0.0,366706.0,16228.3,75521.6,206972.8,NORMAL
2022-05-01,14.59.18.00,Data Log,Log Period,8.0,4.0,8.5,43.8,716.0,184233.6,56004.1,44191.5,282491.9,0.0,0.0,366706.5,16228.3,75521.6,206973.8,NORMAL
2022-05-01,15.09.22.00,Data Log,Log Period,7.6,4.1,8.0,44.8,678.0,184234.5,56004.1,44191.9,282491.9,0.0,0.0,366707.0,16228.3,75521.6,206974.8,NORMAL
